BKA,Đại Học Bách Khoa Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-ha-noi-BKA.html
BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc ),https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html
BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam-BVS.html
DBD,Đại Học Bình Dương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-binh-duong-DBD.html
DBL,Đại Học Bạc Liêu,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bac-lieu-DBL.html
DCD,Đại Học Công Nghệ Đồng Nai,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-dong-nai-DCD.html
DCG,Đại Học Gia Định,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-gia-dinh-DCG.html
DCL,Đại Học Cửu Long,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cuu-long-DCL.html
DCN,Đại Học Công Nghiệp Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-ha-noi-DCN.html
DCQ,Đại Học Công Nghệ và Quản Lý Hữu Nghị,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-va-quan-ly-huu-nghi-DCQ.html
DCT,Đại Học Công Nghiệp Thực Phẩm TP HCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-thuc-pham-tp-hcm-DCT.html
DCV,Đại học Công nghiệp Vinh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-vinh-DCV.html
DDA,Đại Học Công Nghệ Đông Á,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-dong-a-DDA.html
DDK,Đại Học Bách Khoa – Đại Học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-dai-hoc-da-nang-DDK.html
DDL,Đại Học Điện Lực,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dien-luc-DDL.html
DDM,Đại Học Công Nghiệp Quảng Ninh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-quang-ninh-DDM.html
DDN,Đại Học Đại Nam,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dai-nam-DDN.html
DDP,Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-da-nang-tai-kon-tum-DDP.html
DDQ,Đại Học Kinh Tế – Đại Học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-dai-hoc-da-nang-DDQ.html
DDS,Đại Học Sư Phạm – Đại Học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-dai-hoc-da-nang-DDS.html
DDT,Đại Học Dân Lập Duy Tân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dan-lap-duy-tan-DDT.html
DDV,Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/vien-nghien-cuu-va-dao-tao-viet-anh-dai-hoc-da-nang-DDV.html
DFA,Đại học Tài Chính – Quản Trị Kinh Doanh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-quan-tri-kinh-doanh-DFA.html
DHK,Đại Học Kinh Tế – Đại Học Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-dai-hoc-hue-DHK.html
DHP,Đại Học Dân Lập Hải Phòng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dan-lap-hai-phong-DHP.html
DHQ,Phân Hiệu Đại Học Huế tại Quảng Trị,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-hue-tai-quang-tri-DHQ.html
DHT,Đại Học Khoa Học – Đại Học Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-dai-hoc-hue-DHT.html
DHV,Đại học Hùng Vương - TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hung-vuong-tphcm-DHV.html
DKB,Đại Học Kinh Tế Kỹ Thuật Bình Dương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-ky-thuat-binh-duong-DKB.html
DKC,Đại học Công Nghệ TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-tphcm-DKC.html
DKK,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-ky-thuat-cong-nghiep-DKK.html
DKT,Đại Học Hải Dương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hai-duong-DKT.html
DLA,Đại Học Kinh Tế Công Nghiệp Long An,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-cong-nghiep-long-an-DLA.html
DLH,Đại Học Lạc Hồng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lac-hong-DLH.html
DMS,Đại Học Tài Chính Marketing,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-marketing-DMS.html
DMT,Đại học Tài Nguyên và Môi Trường Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-nguyen-va-moi-truong-ha-noi-DMT.html
DNT,Đại Học Ngoại Ngữ – Tin Học TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-tin-hoc-tphcm-DNT.html
DNV,Đại Học Nội Vụ,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-noi-vu-DNV.html
DPC,Đại Học Phan Châu Trinh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phan-chau-trinh-DPC.html
DPD,Đại Học Dân Lập Phương Đông,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dan-lap-phuong-dong-DPD.html
DPQ,Đại Học Phạm Văn Đồng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-pham-van-dong-DPQ.html
DPT,Đại Học Phan Thiết,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phan-thiet-DPT.html
DQB,Đại Học Quảng Bình,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quang-binh-DQB.html
DQH,Học Viện Kĩ Thuật Quân Sự - Hệ Dân sự,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ki-thuat-quan-su-he-dan-su-DQH.html
DQK,Đại Học Kinh Doanh và Công Nghệ Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-doanh-va-cong-nghe-ha-noi-DQK.html
DQN,Đại Học Quy Nhơn,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quy-nhon-DQN.html
